bjd,selfrv,selfrv_err,maskrv,maskrv_err,fwhm,fwhm_err,flux_asym,flux_asym_err,bis,bis_err
2460589.69396857,-0.015605651517875418,0.0015120649252735089,1.54817765233702,0.00179646553077509,3.22270752845184,0.00359293106155018,-0.00412000722476381,0.00123300472092073,-0.00428925598029917,0.00359293106155018
2460587.70076486,0.010936420832121917,0.0017633899144760374,1.57830778361522,0.0017112750874708,3.20473480949202,0.00342255017494159,-0.00132998094934766,0.00118956466296238,-0.00853628448554011,0.00342255017494159
2460890.81461626,0.00013647694167994606,0.0014782383528018476,1.56160767171626,0.0021935662061045,3.19679630686004,0.004387132412209,-0.00261528834178058,0.00152736823785353,0.00466163246143059,0.004387132412209
2460933.72939331,0.000869448039274114,0.001396238553927013,1.55627526410224,0.00309652898498787,3.20151551983983,0.00619305796997573,-0.00399287107155618,0.0021522639556838,0.00231945163024605,0.00619305796997573
2460646.6749141,0.005744673161157976,0.0019773487366367623,1.56573411074273,0.00226352605163762,3.19693972368074,0.00452705210327523,-0.00373377103388877,0.00158207108592956,-0.00123494766115817,0.00452705210327523
2460881.90402164,-0.01125351636816683,0.001950103735341081,1.54638429330244,0.00203980716679448,3.21923749486418,0.00407961433358895,-0.00386216319621874,0.00140637289054011,-0.000924469975570164,0.00407961433358895
2460879.86585801,0.016234052727893973,0.0018180189387818257,1.57845181346642,0.00195140284516045,3.21131295850548,0.0039028056903209,-0.00169621031430065,0.00133759267745201,-0.00326208819709106,0.0039028056903209
2460638.55920798,-0.0031946642206593817,0.001375737510863482,1.55858612103878,0.00174078958151079,3.24136929513874,0.00348157916302158,-0.0034268437208355,0.00118032616245168,-0.00175571650543915,0.00348157916302158
2460680.60411224,0.020240373896657643,0.0018735879720731502,1.58405986372124,0.00194542316838808,3.21162143382664,0.00389084633677616,-0.00170463755122301,0.00134486102847625,-0.00323030968640925,0.00389084633677616
2460594.7807935,0.013656585462089178,0.002168363156467308,1.57680055248152,0.00180848128673129,3.21323014143866,0.00361696257346259,-0.00122879880715589,0.00124477540178683,-0.0100537606919882,0.00361696257346259
2460623.57564853,0.0020235108687679405,0.0026848123659717173,1.56598431345512,0.001826883474104,3.18922358810867,0.00365376694820801,-0.00113946325248019,0.00127902046665634,0.00247469636661846,0.00365376694820801
2460920.75425083,0.009180375058549224,0.0021653620616878377,1.56882305762887,0.00201856635225494,3.21056705457735,0.00403713270450989,-0.00330261744945819,0.0013838350856603,-0.00470407320951183,0.00403713270450989
2460634.56036217,-0.004278090471199206,0.0030253472552280707,1.5539488538918,0.00173570853568863,3.20065256837715,0.00347141707137726,-0.00320382137260646,0.00121144479384326,0.00712204037672293,0.00347141707137726
