2460941.1529569998 1.0114621273 0.0027289033 1.4584270000 -0.0598995001 0.0035879501 1160.7074250000 869.3296420000
2460941.1532140002 1.0083884432 0.0027289033 1.4581360000 -0.0596424998 0.0035572278 1159.5440110000 870.2204640000
2460941.1534710000 1.0094081141 0.0027289033 1.4578460000 -0.0593854999 0.0035266376 1159.2751920000 870.7588090000
2460941.1537290001 1.0057402334 0.0027289033 1.4575570000 -0.0591274998 0.0034960612 1159.9060360000 870.2391870000
2460941.1539850002 1.0079116187 0.0027289033 1.4572700000 -0.0588714997 0.0034658535 1160.9512720000 871.1548270000
2460941.1542420001 1.0087699028 0.0027289033 1.4569850000 -0.0586144999 0.0034356596 1160.7566080000 870.8819800000
2460941.1544989999 1.0077649035 0.0027289033 1.4567010000 -0.0583575000 0.0034055978 1159.9067500000 870.1636140000
2460941.1547559998 1.0028426076 0.0027289033 1.4564190000 -0.0581005001 0.0033756681 1160.3803990000 870.4933140000
2460941.1550130001 1.0027399069 0.0027289033 1.4561380000 -0.0578434998 0.0033458705 1160.9702770000 870.8151140000
2460941.1552700000 1.0043024241 0.0027289033 1.4558580000 -0.0575865000 0.0033162050 1161.3154530000 870.8655920000
2460941.1555269998 1.0047058910 0.0027289033 1.4555800000 -0.0573295001 0.0032866716 1162.0838870000 871.1095980000
2460941.1557840002 1.0057402334 0.0027289033 1.4553030000 -0.0570724998 0.0032572702 1162.9349120000 870.7054630000
2460941.1560399998 1.0129292796 0.0027289033 1.4550270000 -0.0568165001 0.0032281147 1163.0285850000 871.1114230000
2460941.1562970001 1.0048966208 0.0027289033 1.4547540000 -0.0565594998 0.0031989770 1163.2407960000 872.7373860000
2460941.1565540000 1.0067599042 0.0027289033 1.4544810000 -0.0563025000 0.0031699715 1163.8062990000 873.7084010000
2460941.1568109998 1.0043391029 0.0027289033 1.4542100000 -0.0560455001 0.0031410981 1162.5795790000 873.2459650000
2460941.1570680002 1.0059676420 0.0027289033 1.4539400000 -0.0557884998 0.0031123567 1161.7577020000 873.6282430000
2460941.1573250000 1.0054247956 0.0027289033 1.4536720000 -0.0555314999 0.0030837475 1161.7868420000 873.0949300000
2460941.1575819999 1.0074127870 0.0027289033 1.4534050000 -0.0552745000 0.0030552704 1162.0753160000 871.4584460000
2460941.1578390002 1.0077869108 0.0027289033 1.4531390000 -0.0550174997 0.0030269253 1162.0462490000 870.9585210000
2460941.1580960001 1.0072734075 0.0027289033 1.4528750000 -0.0547604999 0.0029987123 1161.9281610000 869.4744840000
2460941.1583529999 1.0085278227 0.0027289033 1.4526120000 -0.0545035000 0.0029706315 1162.6137900000 868.7725330000
2460941.1586099998 1.0100683326 0.0027289033 1.4523510000 -0.0542465001 0.0029426828 1161.9987360000 868.6101950000
2460941.1588670001 1.0027399069 0.0027289033 1.4520910000 -0.0539894998 0.0029148661 1161.9801560000 870.1568320000
2460941.1591240000 1.0046031903 0.0027289033 1.4518330000 -0.0537324999 0.0028871816 1161.4064310000 870.7150310000
2460941.1593800001 1.0113887697 0.0027289033 1.4515760000 -0.0534764999 0.0028597360 1160.4793060000 872.0991690000
2460941.1596369999 1.0108165803 0.0027289033 1.4513210000 -0.0532195000 0.0028323152 1159.5693590000 872.0943940000
2460941.1598939998 1.0079556333 0.0027289033 1.4510670000 -0.0529625001 0.0028050264 1160.4608180000 871.6048820000
2460941.1601510001 1.0045004897 0.0027289033 1.4508140000 -0.0527054998 0.0027778697 1161.8904230000 871.7526930000
2460941.1604070002 1.0064811453 0.0027289033 1.4505630000 -0.0524494997 0.0027509500 1162.2743040000 871.6757100000
2460941.1606640001 1.0064664737 0.0027289033 1.4503130000 -0.0521924999 0.0027240570 1162.7639420000 870.8556670000
2460941.1609209999 1.0040383367 0.0027289033 1.4500650000 -0.0519355000 0.0026972962 1162.8449790000 871.0684110000
2460941.1611790000 1.0096281869 0.0027289033 1.4498170000 -0.0516774999 0.0026705640 1162.8002310000 871.7357730000
2460941.1614359999 1.0111320180 0.0027289033 1.4495710000 -0.0514205000 0.0026440678 1163.1782390000 872.4300210000
2460941.1616929998 1.0115574922 0.0027289033 1.4493270000 -0.0511635002 0.0026177038 1162.9547060000 871.2638340000
2460941.1619500001 1.0027545784 0.0027289033 1.4490830000 -0.0509064998 0.0025914717 1163.3847310000 871.4445880000
2460941.1622080002 1.0091586982 0.0027289033 1.4488410000 -0.0506484997 0.0025652705 1163.3764880000 872.5871600000
2460941.1624650001 1.0018376082 0.0027289033 1.4486010000 -0.0503914999 0.0025393033 1162.7541040000 872.9433680000
2460941.1627219999 1.0054394671 0.0027289033 1.4483620000 -0.0501345000 0.0025134681 1161.9727180000 874.1458430000
2460941.1629800000 1.0088579320 0.0027289033 1.4481240000 -0.0498764999 0.0024876652 1161.1427380000 875.1171990000
2460941.1632369999 1.0112273829 0.0027289033 1.4478880000 -0.0496195001 0.0024620948 1162.7031930000 874.8191040000
2460941.1634950000 1.0009793242 0.0027289033 1.4476530000 -0.0493615000 0.0024365577 1163.1040550000 874.8350410000
2460941.1637519998 1.0028132645 0.0027289033 1.4474190000 -0.0491045001 0.0024112519 1163.5472410000 873.2762740000
2460941.1640099999 1.0066498678 0.0027289033 1.4471870000 -0.0488465000 0.0023859806 1164.1098120000 872.4903350000
2460941.1642669998 1.0101196829 0.0027289033 1.4469570000 -0.0485895001 0.0023609395 1162.5906350000 871.8121040000
2460941.1645229999 1.0077135532 0.0027289033 1.4467280000 -0.0483335000 0.0023361272 1161.8592520000 871.9633280000
2460941.1647800002 1.0081830419 0.0027289033 1.4465010000 -0.0480764997 0.0023113498 1162.7687680000 872.4163380000
2460941.1650370001 1.0059089559 0.0027289033 1.4462750000 -0.0478194999 0.0022867046 1162.1501140000 872.3247040000
2460941.1652939999 1.0062023863 0.0027289033 1.4460500000 -0.0475625000 0.0022621914 1161.5888920000 872.3283450000
2460941.1655509998 1.0093787710 0.0027289033 1.4458270000 -0.0473055001 0.0022378103 1161.2500270000 872.7879230000
2460941.1658069999 1.0007885944 0.0027289033 1.4456060000 -0.0470495000 0.0022136555 1161.7596980000 872.4869450000
2460941.1660640002 1.0059016201 0.0027289033 1.4453850000 -0.0467924997 0.0021895380 1161.7441700000 871.0315000000
2460941.1663210001 1.0036422056 0.0027289033 1.4451660000 -0.0465354999 0.0021655527 1160.6508170000 870.3607600000
2460941.1665779999 1.0039062930 0.0027289033 1.4449490000 -0.0462785000 0.0021416996 1159.4928100000 870.3226990000
2460941.1668349998 1.0063344300 0.0027289033 1.4447320000 -0.0460215001 0.0021179785 1159.6216940000 871.1106480000
2460941.1670920001 1.0047132267 0.0027289033 1.4445170000 -0.0457644998 0.0020943894 1159.7068360000 872.1103270000
2460941.1673490000 1.0071927141 0.0027289033 1.4443040000 -0.0455074999 0.0020709326 1161.5084460000 872.8483530000
2460941.1676070001 1.0034881546 0.0027289033 1.4440910000 -0.0452494998 0.0020475172 1163.0860260000 874.0505510000
2460941.1678640000 1.0094594644 0.0027289033 1.4438800000 -0.0449925000 0.0020243251 1162.1916860000 874.4146640000
2460941.1681209998 1.0033414393 0.0027289033 1.4436710000 -0.0447355001 0.0020012650 1161.1166320000 872.9683760000
2460941.1683769999 1.0048379347 0.0027289033 1.4434630000 -0.0444795000 0.0019784259 1160.9822260000 870.5049120000
2460941.1686339998 1.0020796884 0.0027289033 1.4432560000 -0.0442225002 0.0019556295 1160.9511310000 871.3461280000
2460941.1688910001 1.0065251598 0.0027289033 1.4430510000 -0.0439654998 0.0019329652 1161.5840950000 872.8938840000
2460941.1691490002 1.0077502320 0.0027289033 1.4428470000 -0.0437074997 0.0019103455 1162.1657600000 872.5685830000
2460941.1694049998 1.0087258883 0.0027289033 1.4426450000 -0.0434515001 0.0018880329 1162.5869390000 872.7068460000
2460941.1696620001 1.0029746513 0.0027289033 1.4424440000 -0.0431944998 0.0018657648 1162.1134970000 872.7120310000
2460941.1699199998 1.0032827533 0.0027289033 1.4422440000 -0.0429365002 0.0018435430 1162.4147250000 872.4461730000
2460941.1701770001 1.0109779670 0.0027289033 1.4420450000 -0.0426794998 0.0018215397 1162.4473810000 873.2326460000
